Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,,
YI,"111, Inc.",8.39,$684.15M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,,,
PIH,"1347 Property Insurance Holdings, Inc.",4.72,$28.28M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,,,
PIHPP,"1347 Property Insurance Holdings, Inc.",23.29,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,,,
TURN,180 Degree Capital Corp.,1.885,$58.66M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,,,
FLWS,"1-800 FLOWERS.COM, Inc.",17.19,$1.1B,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,,,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.31,$29.8M,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow,,,
FCCY,1st Constitution Bancorp (NJ),18.33,$157.75M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,,,
SRCE,1st Source Corporation,46.21,$1.19B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,,,
VNET,"21Vianet Group, Inc.",9.23,$1.03B,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,,,
TWOU,"2U, Inc.",63.96,$3.7B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,,,
QFIN,"360 Finance, Inc.",12.68,$1.82B,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,,,
TPNL,"3PEA International, Inc.",7.25,$336.4M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl,,,
JOBS,"51job, Inc.",70.99,$4.39B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,,,
EGHT,8x8 Inc,19.54,$1.87B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,,,
AAON,"AAON, Inc.",38.2,$1.99B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,,,
ABEO,Abeona Therapeutics Inc.,6.68,$320.27M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,,,
ABEOW,Abeona Therapeutics Inc.,3.35,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,,,
ABIL,Ability Inc.,1.927,$7.06M,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,,,
ABMD,"ABIOMED, Inc.",358.08,$16.14B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,,,
ABP,Abpro Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abp,,,
AXAS,Abraxas Petroleum Corporation,1.12,$186.6M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,,,
